source_id,jaccard,turnover,jsd,nucleo_W0,nucleo_W1,n0,n1
S13880985,0.6666666666666666,0.33333333333333337,0.04391445012681761,1311|1312,1110|1311|1312,2,3
S139866111,0.5,0.5,0.08137561675252554,1211|3312|3320,1211|2309|3312,3,3
S139935717,1.0,0.0,0.0114568850941883,3312|3320,3312|3320,2,2
S140176541,1.0,0.0,0.014986136569081272,3203|3312,3203|3312,2,2
S140231038,0.6666666666666666,0.33333333333333337,0.07877354909499804,2002|3312|3320,3312|3320,3,2
S140378306,1.0,0.0,0.007382228141772748,1311|2303|2309,1311|2303|2309,3,3
S141683002,1.0,0.0,0.012575026671850443,3312|3320,3312|3320,2,2
S141724154,1.0,0.0,0.032421313886634134,3312,3312,1,1
S141988568,1.0,0.0,0.05604884634624844,3312|3320,3312|3320,2,2
S14335163,1.0,0.0,0.035448506974811445,3312|3320,3312|3320,2,2
S143967217,1.0,0.0,0.047574866644330006,3312|3320,3312|3320,2,2
S144178814,1.0,0.0,0.020260386858051684,3312|3318,3312|3318,2,2
S144751283,1.0,0.0,0.02000434044909522,1311|2735,1311|2735,2,2
S145066639,1.0,0.0,0.02818202203401829,3312|3320,3312|3320,2,2
S145715788,1.0,0.0,0.031231053107837997,3312|3320,3312|3320,2,2
S14636018,0.5,0.5,0.019781275032767453,3312|3320,3312,2,1
S147265922,1.0,0.0,0.04487965258590039,3312|3320,3312|3320,2,2
S147353869,1.0,0.0,0.02468644901087834,1311|2303,1311|2303,2,2
S149201819,0.5,0.5,0.016551294315754056,1306|1311|1312,1311|1312|2730,3,3
S150607185,1.0,0.0,0.012520190469569332,1311|1312,1311|1312,2,2
S150708946,1.0,0.0,0.011087110071931815,3312,3312,1,1
S150892397,0.3333333333333333,0.6666666666666667,0.013309975020586735,1703|2604,2604|2608,2,2
S151245446,1.0,0.0,0.02593961218588642,3304,3304,1,1
S151579836,1.0,0.0,0.004346667650851424,2604|2610,2604|2610,2,2
S152450506,0.75,0.25,0.029473734547971055,3312|3320|3322,2308|3312|3320|3322,3,4
S152704329,1.0,0.0,0.02294404319132437,3312,3312,1,1
S152710239,1.0,0.0,0.03239789710757373,1110|1311|1312,1110|1311|1312,3,3
S152731354,1.0,0.0,0.032948567034193466,2604|2608|2613,2604|2608|2613,3,3
S153791594,0.5,0.5,0.11409680620184615,3312,1208|3312,1,2
S156070145,1.0,0.0,0.06923667664786382,3312|3318|3320,3312|3318|3320,3,3
S157620343,0.6666666666666666,0.33333333333333337,0.0387097967399737,3312|3318,3304|3312|3318,2,3
S159327246,1.0,0.0,0.011200454454778803,3304|3312,3304|3312,2,2
S159612214,1.0,0.0,0.010388829044637352,3304|3312,3304|3312,2,2
S160173694,1.0,0.0,0.026512980842907017,3312|3320,3312|3320,2,2
S160300278,0.5,0.5,0.013368459412762388,3320,3312|3320,1,2
S160362754,1.0,0.0,0.017813133253408088,1311|1312,1311|1312,2,2
S161550498,1.0,0.0,0.038485409536261825,3312|3320,3312|3320,2,2
S161901644,0.6666666666666666,0.33333333333333337,0.01591358714707709,3304|3312|3320,3312|3320,3,2
S163559066,1.0,0.0,0.03316898866107023,1202|3312,1202|3312,2,2
S16390937,1.0,0.0,0.055980598220011044,1408|3312,1408|3312,2,2
S164212335,1.0,0.0,0.05042699652356673,3312|3320,3312|3320,2,2
S164505828,1.0,0.0,0.013636169683099659,3312|3320,3312|3320,2,2
